window,arm,n,acc,logloss,brier
full,reference,42422,0.6774433077176937,0.5930618887966231,0.20418070744804484
full,candidate,42422,0.6769247088774693,0.5927821852507565,0.2040766119314935
tune,reference,26794,0.6795924460700157,0.5906491562188603,0.20305557841342903
tune,candidate,26794,0.6797790550123162,0.5903462907372748,0.2029406104211456
validation,reference,15628,0.6737586383414385,0.5971984869978375,0.20610972634703992
validation,candidate,15628,0.6720309700537497,0.5969584942854524,0.20602427154681616
