trial,sigma0,q,n,deltaLogloss,naiveSE,candidateLL,selected,seconds
tune-01,0.5,1e-06,26794,0.00015836052433149654,0.00010593893890749063,0.5904907956945288,False,51.71133804199053
tune-02,0.5,1e-05,26794,0.00016552557549195948,9.442375375334381e-05,0.5904836306433683,False,56.518123875022866
tune-03,0.5,0.0001,26794,0.00018646633235892468,0.0001003331334750242,0.5904626898865013,False,49.109820707992185
tune-04,0.5,0.001,26794,0.00013238669190982088,0.0002014194071922458,0.5905167695269504,False,52.370773750008084
tune-05,1.0,1e-06,26794,5.779033267895959e-05,8.669946639920215e-05,0.5905913658861813,False,50.0076347499853
tune-06,1.0,1e-05,26794,-6.40302270941085e-05,7.994957713327501e-05,0.5907131864459544,False,49.329109041020274
tune-07,1.0,0.0001,26794,0.0003028654815853933,0.00010481523141604714,0.5903462907372748,True,50.86410274996888
tune-08,1.0,0.001,26794,0.0002829493347421388,0.00021210349460520526,0.5903662068841181,False,53.41281091701239
