year,event,match,winner,loser,winnerId,loserId,round,score,outcome,status,start,end,timestamp,estimatedStartTime,sourceLastUpdated,historicalPublicationTimeKnown,sourceFile,sourceSHA256,duplicateRecords,observedIndex,observedHasStats,observedDate,observedSource,cachedPositiveDenominators,cachedValidStats
2025,1003,LS001,Amanda Anisimova,Jelena Ostapenko,326384,319939,F,6-4 6-3,completed,present,2025-02-09,2025-02-15,2025-02-15T15:16:57.163+00:00,False,2025-02-15T17:13:40.833+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136898.0,True,2025-02-15,stats,False,False
2025,1003,LS002,Amanda Anisimova,Ekaterina Alexandrova,326384,319007,SF,6-3 6-3,completed,present,2025-02-09,2025-02-15,2025-02-14T15:24:42.687+00:00,False,2025-02-14T17:11:43.037+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136881.0,True,2025-02-14,stats,False,False
2025,1003,LS003,Jelena Ostapenko,Iga Swiatek,319939,326408,SF,6-3 6-1,completed,present,2025-02-09,2025-02-15,2025-02-14T13:57:07.49+00:00,False,2025-02-14T15:22:57.217+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136880.0,True,2025-02-14,stats,False,False
2025,1003,LS004,Ekaterina Alexandrova,Jessica Pegula,319007,316956,QF,4-6 6-1 6-1,completed,present,2025-02-09,2025-02-15,2025-02-13T12:18:51.137+00:00,False,2025-02-13T14:20:53.287+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136872.0,True,2025-02-13,stats,False,False
2025,1003,LS005,Amanda Anisimova,Marta Kostyuk,326384,326482,QF,4-6 7-5 6-4,completed,present,2025-02-09,2025-02-15,2025-02-13T17:57:35.687+00:00,False,2025-02-13T20:33:29.843+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136875.0,True,2025-02-13,stats,False,False
2025,1003,LS006,Jelena Ostapenko,Ons Jabeur,319939,316847,QF,6-2 6-2,completed,present,2025-02-09,2025-02-15,2025-02-13T16:19:13.777+00:00,False,2025-02-13T17:45:38.383+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136874.0,True,2025-02-13,stats,False,False
2025,1003,LS007,Iga Swiatek,Elena Rybakina,326408,324166,QF,6-2 7-5,completed,present,2025-02-09,2025-02-15,2025-02-13T14:22:51.45+00:00,False,2025-02-13T16:15:59.897+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136873.0,True,2025-02-13,stats,False,False
2025,1003,LS008,Ekaterina Alexandrova,Elise Mertens,319007,317964,R16,6-4 6-2,completed,present,2025-02-09,2025-02-15,2025-02-12T14:33:12.063+00:00,False,2025-02-12T15:54:39.98+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136860.0,True,2025-02-12,stats,False,False
2025,1003,LS009,Jessica Pegula,Daria Kasatkina,316956,322082,R16,6-3 7-5,completed,present,2025-02-09,2025-02-15,2025-02-12T12:38:49.063+00:00,False,2025-02-12T14:28:27.51+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136857.0,True,2025-02-12,stats,False,False
2025,1003,LS010,Marta Kostyuk,Magda Linette,326482,315130,R16,6-4 6-2,completed,present,2025-02-09,2025-02-15,2025-02-12T13:47:34.74+00:00,False,2025-02-12T15:45:01.803+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136859.0,True,2025-02-12,stats,False,False
2025,1003,LS011,Amanda Anisimova,Leylah Fernandez,326384,326735,R16,6-3 6-0,completed,present,2025-02-09,2025-02-15,2025-02-12T18:02:41.757+00:00,False,2025-02-12T19:23:15.607+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136862.0,True,2025-02-12,stats,False,False
2025,1003,LS012,Ons Jabeur,Sofia Kenin,316847,320942,R16,6-3 6-4,completed,present,2025-02-09,2025-02-15,2025-02-12T16:38:27.073+00:00,False,2025-02-12T18:00:25.653+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136861.0,True,2025-02-12,stats,False,False
2025,1003,LS013,Jelena Ostapenko,Jasmine Paolini,319939,319280,R16,6-2 6-2,completed,present,2025-02-09,2025-02-15,2025-02-12T12:21:47.23+00:00,False,2025-02-12T13:42:29.453+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136856.0,True,2025-02-12,stats,False,False
2025,1003,LS014,Elena Rybakina,Rebecca Sramkova,324166,320228,R16,7-6(1) 6-2,completed,present,2025-02-09,2025-02-15,2025-02-12T10:41:55.15+00:00,False,2025-02-12T12:34:11.577+00:00,False,data/raw/wta/stats/_httpcache/2025/15fefb379361cd49a8b4b13d1b9db3a137aac484797b7793a3cced563b65f9e3.json,659ef551b177088ebf20e1cd80636b871c4f8d884522a6ca02074acabc49075c,1,136855.0,True,2025-02-12,stats,False,False
