experiment,year,n,deltaLogloss,naiveSE,incumbentLL,candidateLL,incumbentAccuracy,candidateAccuracy,accuracyDeltaPP,incumbentBrier,candidateBrier
HIST-01-absence-neutral,2010,2702,-0.0004606001215825958,0.0002246838027448945,0.5721081910444517,0.5725687911660341,0.7031828275351591,0.7024426350851222,-0.07401924500369805,0.19478342641831686,0.19499626533026834
HIST-01-absence-neutral,2011,2702,-0.0003548674126637932,0.00030068289320378695,0.580587250224393,0.5809421176370567,0.695040710584752,0.6931902294596595,-0.18504811250925624,0.19837240770143752,0.19853713768000306
HIST-01-absence-neutral,2012,2808,0.0003469824840029531,0.0002907218457321196,0.5692361933799149,0.568889210895912,0.6969373219373219,0.6976495726495726,0.07122507122506727,0.1941261867141024,0.19399526241089596
HIST-01-absence-neutral,2013,2633,0.0010374807849784394,0.0003853826726929282,0.5693790428865422,0.5683415621015638,0.6889479680972275,0.6969236612229396,0.7975693125712113,0.19470714999198874,0.19424867880237687
HIST-01-absence-neutral,2014,2611,-1.3839366771616503e-05,0.00040785658360205503,0.5939187263987731,0.5939325657655448,0.6836461126005362,0.6847950976637304,0.11489850631941634,0.20365210825308813,0.20363597527232272
HIST-01-absence-neutral,2015,2547,0.0001643205740157035,0.00023649280743516038,0.6049483051705123,0.6047839845964965,0.6584216725559482,0.657243816254417,-0.11778563015312216,0.20948280703091696,0.2093995479642279
HIST-01-absence-neutral,2016,2812,-7.148240318744178e-05,0.0003110363865001879,0.6022044565303308,0.6022759389335183,0.6703413940256046,0.6657183499288762,-0.46230440967283126,0.20792440883037513,0.20793141398332216
HIST-01-absence-neutral,2017,2708,-0.0005377442215145936,0.00029567218185226743,0.6085697150575647,0.6091074592790793,0.6650664697193501,0.664327917282127,-0.07385524372230945,0.21085001973501757,0.21106715790372313
HIST-01-absence-neutral,2018,2746,4.818375225395554e-05,0.00029082565763680854,0.6072707497557661,0.6072225660035121,0.65877640203933,0.6609613983976693,0.21849963583393528,0.21052860609877758,0.21047445935863618
HIST-01-absence-neutral,2019,2525,-0.0007944776935149049,0.0002469083446151165,0.5992807253955075,0.6000752030890224,0.6744554455445545,0.6732673267326733,-0.11881188118811892,0.20654599541326396,0.20689740403400117
HIST-02-point-cap-40,2010,2702,0.00017061845172852897,0.0002262250149713503,0.5721081910444517,0.571937572592723,0.7031828275351591,0.7046632124352331,0.1480384900073961,0.19478342641831686,0.1947007297303616
HIST-02-point-cap-40,2011,2702,2.1523230274550524e-05,0.000269100075092255,0.580587250224393,0.5805657269941185,0.695040710584752,0.691339748334567,-0.37009622501850137,0.19837240770143752,0.1983728631653683
HIST-02-point-cap-40,2012,2808,-0.00029936811953644183,0.00041084301579364453,0.5692361933799149,0.5695355614994514,0.6969373219373219,0.6983618233618234,0.14245014245014564,0.1941261867141024,0.19425584750073502
HIST-02-point-cap-40,2013,2633,0.001115423966553993,0.0004685988036599772,0.5693790428865422,0.5682636189199882,0.6889479680972275,0.6935055070262058,0.45575389289783663,0.19470714999198874,0.1941838855815482
HIST-02-point-cap-40,2014,2611,0.0005313211001198307,0.0004650105383006157,0.5939187263987731,0.5933874052986533,0.6836461126005362,0.6855610877058598,0.19149751053235686,0.20365210825308813,0.2034335986457156
HIST-02-point-cap-40,2015,2547,-0.00027070152587918117,0.0004243824854014234,0.6049483051705123,0.6052190066963914,0.6584216725559482,0.6592069100903023,0.07852375343541107,0.20948280703091696,0.2096528407153728
HIST-02-point-cap-40,2016,2812,0.0001657248752937569,0.0003542293972589567,0.6022044565303308,0.6020387316550371,0.6703413940256046,0.6682076813655761,-0.21337126600284861,0.20792440883037513,0.20783610782837494
HIST-02-point-cap-40,2017,2708,-0.00027429687250580577,0.000349607826702083,0.6085697150575647,0.6088440119300704,0.6650664697193501,0.6624815361890695,-0.2584933530280664,0.21085001973501757,0.21096412373439127
HIST-02-point-cap-40,2018,2746,0.00011035828168623062,0.00040627075022541193,0.6072707497557661,0.6071603914740799,0.65877640203933,0.6584122359796067,-0.03641660597232255,0.21052860609877758,0.21047407694791345
HIST-02-point-cap-40,2019,2525,-0.0004285098036277384,0.00030704614188579635,0.5992807253955075,0.5997092351991352,0.6744554455445545,0.6736633663366337,-0.07920792079207928,0.20654599541326396,0.2067309182666783
HIST-03-point-cap-80,2010,2702,-1.316648783688696e-05,0.0001140393212145575,0.5721081910444517,0.5721213575322885,0.7031828275351591,0.7020725388601037,-0.11102886750554708,0.19478342641831686,0.19479336654157478
HIST-03-point-cap-80,2011,2702,0.00010104211565362985,0.00015403260022207524,0.580587250224393,0.5804862081087393,0.695040710584752,0.692820133234641,-0.22205773501110526,0.19837240770143752,0.19831469591670559
HIST-03-point-cap-80,2012,2808,-9.253889502011416e-05,0.00018581769071752271,0.5692361933799149,0.5693287322749351,0.6969373219373219,0.6972934472934473,0.03561253561253919,0.1941261867141024,0.19414918919060797
HIST-03-point-cap-80,2013,2633,0.0011140354774255782,0.00027738177435056055,0.5693790428865422,0.5682650074091167,0.6889479680972275,0.6935055070262058,0.45575389289783663,0.19470714999198874,0.19423585706900073
HIST-03-point-cap-80,2014,2611,2.5028763698178147e-05,0.00025745218709752343,0.5939187263987731,0.5938936976350749,0.6836461126005362,0.6844121026426656,0.07659900421294052,0.20365210825308813,0.2036601313574427
HIST-03-point-cap-80,2015,2547,0.00020565195330548785,0.00021678560409824272,0.6049483051705123,0.6047426532172068,0.6584216725559482,0.6560659599528857,-0.2355712603062443,0.20948280703091696,0.20940148050876817
HIST-03-point-cap-80,2016,2812,-3.478044640154702e-05,0.00019280375652229594,0.6022044565303308,0.6022392369767324,0.6703413940256046,0.6685633001422475,-0.17780938833570348,0.20792440883037513,0.20794044069143736
HIST-03-point-cap-80,2017,2708,-0.0004645218895740657,0.00019953367902144885,0.6085697150575647,0.6090342369471388,0.6650664697193501,0.6646971935007385,-0.036927621861160276,0.21085001973501757,0.21104473206934757
HIST-03-point-cap-80,2018,2746,-0.0005548202281200857,0.00021047460412752697,0.6072707497557661,0.6078255699838861,0.65877640203933,0.65877640203933,0.0,0.21052860609877758,0.21077387378613613
HIST-03-point-cap-80,2019,2525,-0.0005121070494192356,0.00021683392767929573,0.5992807253955075,0.5997928324449268,0.6744554455445545,0.6740594059405941,-0.03960396039603964,0.20654599541326396,0.20675767066608305
