signal,year,band,n,meanFeature,predicted,observed,residual,moment,momentSE
recent_surprise_diff,all,all,26794,0.000448804897612168,0.5035838876791845,0.5055982682690154,0.0020143805898309333,0.00034016568636998913,0.0003517824502678773
recent_surprise_diff,all,zero,585,0.0,0.509282351515165,0.5196581196581197,0.010375768142954619,0.0,0.0
recent_surprise_diff,all,"[-1000000000.0,-0.1)",5600,-0.17363492225841703,0.5014272147416713,0.5016071428571428,0.00017992811547153995,0.00041864012912528204,0.0011228906056277327
recent_surprise_diff,all,"[-0.1,0)",7514,-0.04749164547089063,0.4970294558361578,0.4969390471120575,-9.040872410035496e-05,0.00024642292956079693,0.00028916243921853137
recent_surprise_diff,all,"[0,0.1)",7382,0.04739402247186468,0.5037116224757855,0.5047412625304796,0.0010296400546939912,0.0001744850945263117,0.000285049940072153
recent_surprise_diff,all,"[0.1,1000000000.0)",5713,0.1735288628137096,0.5135700297597059,0.5205671276037108,0.006997097844004896,0.0006354531449296078,0.0011093154073048216
recent_surprise_diff,2010,all,2702,0.005705075716915605,0.5044862647670838,0.5151739452257587,0.010687680458674936,-0.0005201187746262345,0.001014628512254934
recent_surprise_diff,2010,zero,66,0.0,0.49913974689608454,0.45454545454545453,-0.04459429235062997,0.0,0.0
recent_surprise_diff,2010,"[-1000000000.0,-0.1)",501,-0.16529234493258102,0.5152411325508067,0.5369261477045908,0.021685015153784116,-0.0028852035196863185,0.0034863303087174233
recent_surprise_diff,2010,"[-0.1,0)",748,-0.04861343099134359,0.4900684344102735,0.5013368983957219,0.011268463985448509,-3.9583785627080295e-05,0.0008922738558417481
recent_surprise_diff,2010,"[0,0.1)",823,0.04825878398784195,0.5074812558299067,0.528554070473876,0.02107281464396939,0.0007447254299969765,0.0008391687590536828
recent_surprise_diff,2010,"[0.1,1000000000.0)",564,0.16821355772670238,0.5103095642033101,0.50177304964539,-0.008536514557919995,-0.0009630750406306655,0.0033402587081300143
recent_surprise_diff,2011,all,2702,-0.0030072401732015,0.48974757497701876,0.48038490007401924,-0.009362674902999557,0.0003748124260407788,0.0010806922075677241
recent_surprise_diff,2011,zero,74,0.0,0.48357137956494456,0.5,0.0164286204350555,0.0,0.0
recent_surprise_diff,2011,"[-1000000000.0,-0.1)",576,-0.1793854823659266,0.4777234014212627,0.4670138888888889,-0.01070951253237384,0.003508948494319592,0.0035115924765852166
recent_surprise_diff,2011,"[-0.1,0)",767,-0.04813071641520874,0.49325653080480836,0.49022164276401564,-0.003034888040792772,0.0003321851391594696,0.0009125429964662047
recent_surprise_diff,2011,"[0,0.1)",717,0.04832219194107446,0.49087256401288615,0.4630404463040446,-0.027832117708841534,-0.001818682405234704,0.0009250419309881266
recent_surprise_diff,2011,"[0.1,1000000000.0)",568,0.17160162458362324,0.49658732175514814,0.5,0.0034126782448518672,7.18276853029373e-05,0.003297362404060336
recent_surprise_diff,2012,all,2808,-0.009455628267947144,0.4899953054216378,0.48753561253561256,-0.002459692886025289,0.002980225196375353,0.0010650999029017932
recent_surprise_diff,2012,zero,80,0.0,0.4853227316527044,0.5375,0.052177268347295545,0.0,0.0
recent_surprise_diff,2012,"[-1000000000.0,-0.1)",652,-0.1764825513852838,0.48546239617407044,0.4493865030674847,-0.036075893106585724,0.0071640610010029705,0.0032437973160766038
recent_surprise_diff,2012,"[-0.1,0)",788,-0.04732658279633383,0.477111486414934,0.4606598984771574,-0.016451587937776627,0.0004687778107329222,0.0008928382035568751
recent_surprise_diff,2012,"[0,0.1)",758,0.04535059011918634,0.506227972595119,0.5158311345646438,0.009603161969524758,0.0004988057993628249,0.000832162143318242
recent_surprise_diff,2012,"[0.1,1000000000.0)",530,0.1725147533207118,0.49221672125317084,0.5264150943396226,0.034198373086451794,0.005566062015082056,0.003562604808653192
recent_surprise_diff,2013,all,2633,-0.00245353671921973,0.4923705558690796,0.4891758450436764,-0.0031947108254031685,0.00018753266115604966,0.001062689162605717
recent_surprise_diff,2013,zero,56,0.0,0.5106245886446459,0.48214285714285715,-0.028481731501788735,0.0,0.0
recent_surprise_diff,2013,"[-1000000000.0,-0.1)",520,-0.1710732846313567,0.49668720750157425,0.48653846153846153,-0.010148745963112717,0.0007084237045470527,0.0035481225563734433
recent_surprise_diff,2013,"[-0.1,0)",829,-0.04642670682211026,0.47999348755627796,0.4776839565741858,-0.0023095309820921586,0.0008275697567542951,0.0008527804050684694
recent_surprise_diff,2013,"[0,0.1)",718,0.04810748336717006,0.4833390967027955,0.4805013927576602,-0.0028377039451353116,-2.6470956193799398e-05,0.0008812696663947591
recent_surprise_diff,2013,"[0.1,1000000000.0)",510,0.1694990445578456,0.5187985806306005,0.5235294117647059,0.004730831134105473,-0.0010620706104759838,0.003686704056860194
recent_surprise_diff,2014,all,2611,0.006644547447132819,0.5038558577857227,0.5170432784373803,0.013187420651657558,-0.00047131332641857376,0.0011561692532627745
recent_surprise_diff,2014,zero,62,0.0,0.5045417532374948,0.46774193548387094,-0.036799817753623905,0.0,0.0
recent_surprise_diff,2014,"[-1000000000.0,-0.1)",515,-0.17233270058009498,0.5139489144437158,0.5359223300970873,0.021973415653371648,-0.00471749243071467,0.0037121229691531514
recent_surprise_diff,2014,"[-0.1,0)",719,-0.04751559318754511,0.50874420476756,0.5146036161335188,0.005859411365958691,-0.000777633438464091,0.0009556418566813549
recent_surprise_diff,2014,"[0,0.1)",702,0.048099311834329264,0.48311317299778544,0.49145299145299143,0.008339818455206007,0.00034338190110929593,0.0009360970711440149
recent_surprise_diff,2014,"[0.1,1000000000.0)",613,0.17373286913109054,0.513327625394719,0.5383360522022839,0.025008426807564862,0.0024746718665841984,0.003480239178904973
