event_ticker,tour,season,occurrence_utc,match_date,event,round,surface,tier,best_of,player_a,player_b,rank_a,rank_b,rank_src,ticker_a,ticker_b,mid_a,mid_b,p_kalshi,p_kalshi_t30,spread_max,price_ts,price_kind,volume_total,oi_total,liquidity,p_model,pred_source,model_version,model_as_of,match_status,result_type,winner,a_won,result_date,kalshi_result_a
KXATPMATCH-26JUN19TIAAUG,atp,2026,2026-06-19T12:30:00Z,2026-06-19,Halle,QF,Grass,atp500,3,Felix Auger-Aliassime,Frances Tiafoe,4,26,results,KXATPMATCH-26JUN19TIAAUG-AUG,KXATPMATCH-26JUN19TIAAUG-TIA,0.6250,0.3750,0.6250,0.6250,0.0100,2026-06-19T07:55:00Z,candle,7853216.18,3011851.53,0.00,0.6321,backtest,0.1.0,2026-07-07,matched,completed,Frances Tiafoe,0,2026-06-19,no
KXATPMATCH-26JUN19FERCER,atp,2026,2026-06-19T13:30:00Z,2026-06-19,Queen's Club,QF,Grass,atp500,3,Arthur Fery,Francisco Cerundolo,140,27,results,KXATPMATCH-26JUN19FERCER-FER,KXATPMATCH-26JUN19FERCER-CER,0.3750,0.6250,0.3750,0.3750,0.0100,2026-06-19T07:55:00Z,candle,4868961.74,2263474.32,0.00,0.3831,backtest,0.1.0,2026-07-07,matched,completed,Francisco Cerundolo,0,2026-06-19,no
KXATPMATCH-26JUN19PAUDAV,atp,2026,2026-06-19T13:30:00Z,2026-06-19,Queen's Club,QF,Grass,atp500,3,Alejandro Davidovich Fokina,Tommy Paul,22,28,results,KXATPMATCH-26JUN19PAUDAV-DAV,KXATPMATCH-26JUN19PAUDAV-PAU,0.2950,0.7050,0.2950,0.3020,0.0100,2026-06-19T07:55:00Z,candle,2457448.01,1652007.22,0.00,0.3385,backtest,0.1.0,2026-07-07,matched,completed,Tommy Paul,0,2026-06-19,no
KXATPMATCH-26JUN19ZVECOL,atp,2026,2026-06-19T14:30:00Z,2026-06-19,Halle,QF,Grass,atp500,3,Alexander Zverev,Raphael Collignon,3,51,results,KXATPMATCH-26JUN19ZVECOL-ZVE,KXATPMATCH-26JUN19ZVECOL-COL,0.8450,0.1650,0.8366,0.8366,0.0100,2026-06-19T07:55:00Z,candle,2532376.68,1666414.76,0.00,0.7549,backtest,0.1.0,2026-07-07,matched,completed,Alexander Zverev,1,2026-06-19,yes
KXATPMATCH-26JUN19HUMHIJ,atp,2026,2026-06-19T17:55:00Z,2026-06-19,Queen's Club,QF,Grass,atp500,3,Rinky Hijikata,Ugo Humbert,104,33,results,KXATPMATCH-26JUN19HUMHIJ-HIJ,KXATPMATCH-26JUN19HUMHIJ-HUM,,,,,,,none,1521188.40,1041455.19,0.00,0.4138,backtest,0.1.0,2026-07-07,matched,completed,Ugo Humbert,0,2026-06-19,no
KXATPMATCH-26JUN20GHIBAR,atp,2026,2026-06-20T12:00:00Z,2026-06-20,Mallorca,Q1,Grass,challenger,3,Antoine Ghibaudo,Petr Bar Biryukov,303,275,results,KXATPMATCH-26JUN20GHIBAR-GHI,KXATPMATCH-26JUN20GHIBAR-BAR,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,314170.53,183224.72,0.00,,,,,matched,completed,Antoine Ghibaudo,1,2026-06-22,yes
KXATPMATCH-26JUN20MOLSES,atp,2026,2026-06-20T12:00:00Z,2026-06-20,Mallorca,Q1,Grass,challenger,3,Alex Molcan,Ziga Sesko,102,939,results,KXATPMATCH-26JUN20MOLSES-MOL,KXATPMATCH-26JUN20MOLSES-SES,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,111196.44,82842.31,0.00,,,,,matched,completed,Alex Molcan,1,2026-06-22,yes
KXATPMATCH-26JUN20ROMCAS,atp,2026,2026-06-20T12:00:00Z,2026-06-20,Mallorca,Q1,Grass,challenger,3,Filippo Romano,Murphy Cassone,301,291,results,KXATPMATCH-26JUN20ROMCAS-ROM,KXATPMATCH-26JUN20ROMCAS-CAS,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,280506.86,205300.45,0.00,,,,,matched,completed,Murphy Cassone,0,2026-06-22,no
KXATPMATCH-26JUN20ZVEFRI,atp,2026,2026-06-20T12:30:00Z,2026-06-20,Halle,SF,Grass,atp500,3,Alexander Zverev,Taylor Fritz,3,9,results,KXATPMATCH-26JUN20ZVEFRI-ZVE,KXATPMATCH-26JUN20ZVEFRI-FRI,0.5600,0.4400,0.5600,0.5600,0.0200,2026-06-20T07:55:00Z,candle,8471503.75,4707821.09,0.00,0.6198,backtest,0.1.0,2026-07-07,matched,completed,Taylor Fritz,0,2026-06-20,no
KXATPMATCH-26JUN20ARNGRA,atp,2026,2026-06-20T13:00:00Z,2026-06-20,Eastbourne,Q1,Grass,challenger,3,Alastair Gray,Matteo Arnaldi,268,35,results,KXATPMATCH-26JUN20ARNGRA-GRA,KXATPMATCH-26JUN20ARNGRA-ARN,0.5000,0.5000,0.5000,0.5000,1.0000,2026-06-22T04:00:00Z,candle,1176163.51,688808.61,0.00,,,,,matched,completed,Matteo Arnaldi,0,2026-06-22,no
