city_key,ioc,query,resolved_name,lat,lon,elevation_m
key biscayne,USA,Key Biscayne,Key Biscayne,25.69371,-80.16282,1.0
kitzbuhel,AUT,kitzbuhel,Kitzbühel,47.44637,12.39215,751.0
knokke heist,BEL,Knokke-Heist,Knokke-Heist,51.35,3.26667,5.0
kolkata,IND,kolkata,Kolkata,22.56263,88.36304,11.0
kremlin cup,RUS,Moscow,Moscow,55.75204,37.61781,155.0
kuala lumpur,MAS,Kuala Lumpur,Kuala Lumpur,3.1412,101.68653,56.0
kugayama,JPN,Tokyo,Tokyo,35.6895,139.69171,44.0
las vegas,USA,las vegas,Las Vegas,36.17497,-115.13722,610.0
lausanne,SUI,lausanne,Lausanne,46.516,6.63282,453.0
leipzig,GER,leipzig,Leipzig,51.33962,12.37129,116.0
lexington,USA,lexington,Lexington,37.98869,-84.47772,295.0
liege,BEL,liege,Liège,50.63373,5.56749,66.0
limoges,FRA,limoges,Limoges,45.83362,1.24759,309.0
linz,AUT,linz,Linz,48.30639,14.28611,266.0
london,GBR,london,London,51.50853,-0.12574,25.0
london olympics,GBR,London,London,51.50853,-0.12574,25.0
long island,USA,long island,Long Island,40.81677,-73.06622,29.0
los angeles,USA,los angeles,Los Angeles,34.05223,-118.24368,89.0
los cabos,MEX,Cabo San Lucas,Cabo San Lucas,22.89088,-109.91238,11.0
lucerne,SUI,lucerne,Lucerne,47.05048,8.30635,437.0
lugano,SUI,lugano,Lugano,46.01008,8.96004,284.0
luxembourg,LUX,luxembourg,Luxembourg,49.75,6.16667,406.0
lyon,FRA,lyon,Lyon,45.74906,4.84789,173.0
m rida,MEX,Merida,Mérida,20.967,-89.62318,10.0
maceio,BRA,maceio,Maceió,-9.66583,-35.73528,11.0
madrid,ESP,madrid,Madrid,40.4165,-3.70256,665.0
madrid masters,ESP,Madrid,Madrid,40.4165,-3.70256,665.0
mallorca,ESP,mallorca,Majorca,39.6078,3.01197,201.0
manchester,GBR,manchester,Manchester,53.48095,-2.23743,51.0
manhattan beach,USA,manhattan beach,Manhattan Beach,33.88474,-118.41091,20.0
marbella,ESP,marbella,Marbella,36.51543,-4.88583,57.0
maria lankowitz,AUT,Maria Lankowitz,Maria Lankowitz,47.0622,15.06525,508.0
marrakech,MAR,Marrakesh,Marrakesh,31.63416,-7.99994,457.0
marseille,FRA,marseille,Marseille,43.29695,5.38107,28.0
melbourne,AUS,melbourne,Melbourne,-37.814,144.96332,25.0
memphis,USA,memphis,Memphis,35.14953,-90.04898,78.0
merano,ITA,merano,Merano,46.66817,11.15953,325.0
merida,MEX,merida,Mérida,20.967,-89.62318,10.0
metz,FRA,metz,Metz,49.11911,6.17269,182.0
mexico city,MEX,Mexico City,Mexico City,19.42847,-99.12766,2240.0
miami,USA,miami,Miami,25.77427,-80.19366,2.0
miami masters,USA,Miami,Miami,25.77427,-80.19366,2.0
milan,ITA,milan,Milan,45.46427,9.18951,122.0
monastir,TUN,monastir,Monastir,35.77799,10.82617,20.0
monte carlo,MON,Monte-Carlo,Monte Carlo,43.73976,7.42732,45.0
monte carlo masters,MON,Monte-Carlo,Monte Carlo,43.73976,7.42732,45.0
monterrey,MEX,monterrey,Monterrey,25.68435,-100.31721,560.0
montevideo,URU,montevideo,Montevideo,-34.90328,-56.18816,34.0
montpellier,FRA,montpellier,Montpellier,43.61093,3.87635,55.0
montreal,CAN,montreal,Montreal,45.50884,-73.58781,216.0
moscow,RUS,moscow,Moscow,55.75204,37.61781,155.0
mumbai,IND,mumbai,Mumbai,19.07283,72.88261,8.0
munich,GER,munich,Munich,48.13743,11.57549,524.0
murray river open,AUS,Melbourne,Melbourne,-37.814,144.96332,25.0
nanchang,CHN,nanchang,Nanchang,28.68396,115.85306,20.0
naples,ITA,naples,Naples,40.85216,14.26811,17.0
new delhi,IND,New Delhi,New Delhi,28.62137,77.2148,211.0
new haven,USA,new haven,New Haven,41.30815,-72.92816,18.0
new york,USA,new york,New York,40.71427,-74.00597,10.0
new york open,USA,Uniondale,Uniondale,40.70038,-73.59291,16.0
newport,USA,newport,Newport,39.09145,-84.49578,156.0
nice,FRA,nice,Nice,43.70313,7.26608,25.0
ningbo,CHN,ningbo,Ningbo,29.87819,121.54945,15.0
nottingham,GBR,nottingham,Nottingham,52.9536,-1.15047,46.0
nur sultan,KAZ,Astana,Astana,51.1801,71.44598,358.0
nuremberg,GER,nuremberg,Nuremberg,49.45421,11.07752,300.0
nurnberg,GER,nurnberg,Nuremberg,49.45421,11.07752,300.0
oahu,USA,Honolulu,Honolulu,21.30694,-157.85834,5.0
oakland,USA,oakland,Oakland,37.80437,-122.2708,13.0
oeiras,POR,oeiras,Oeiras,38.69105,-9.31085,36.0
oklahoma,USA,oklahoma,Oklahoma,40.58145,-79.57393,293.0
oporto,POR,oporto,Porto,41.1485,-8.61097,91.0
orlando,USA,orlando,Orlando,28.53834,-81.37924,30.0
osaka,JPN,osaka,Osaka,34.69379,135.50107,4.0
ostrava,CZE,ostrava,Ostrava,49.83465,18.28204,211.0
palermo,ITA,palermo,Palermo,38.1166,13.3636,14.0
palm springs,USA,palm springs,Palm Springs,33.8303,-116.54529,146.0
paris,FRA,paris,Paris,48.85341,2.3488,42.0
paris masters,FRA,Paris,Paris,48.85341,2.3488,42.0
paris olympics,FRA,Paris,Paris,48.85341,2.3488,42.0
parma,ITA,parma,Parma,44.79935,10.32618,57.0
pattaya,THA,pattaya,Pattaya,12.93333,100.88333,9.0
philadelphia,USA,philadelphia,Philadelphia,39.95238,-75.16362,12.0
phillip island trophy,AUS,Melbourne,Melbourne,-37.814,144.96332,25.0
pinehurst,USA,pinehurst,Pinehurst,35.19543,-79.46948,160.0
poertschach,AUT,Portschach,Pörtschach am Wörthersee,46.63639,14.14639,449.0
ponte vedra beach,USA,Ponte Vedra Beach,Ponte Vedra Beach,30.23969,-81.38564,4.0
portoroz,SLO,portoroz,Portorož,45.51429,13.59206,6.0
prague,CZE,prague,Prague,50.08804,14.42076,202.0
pune,IND,pune,Pune,18.51957,73.85535,554.0
quebec city,CAN,Quebec,Québec,46.81228,-71.21454,54.0
queen s club,GBR,London,London,51.50853,-0.12574,25.0
queens,GBR,London,London,51.50853,-0.12574,25.0
queens club,GBR,London,London,51.50853,-0.12574,25.0
quito,ECU,quito,Quito,-0.22985,-78.52495,2854.0
rabat,MAR,rabat,Rabat,34.01325,-6.83255,46.0
rio de janeiro,BRA,rio de janeiro,Rio de Janeiro,-22.90642,-43.18223,12.0
rio olympics,BRA,Rio de Janeiro,Rio de Janeiro,-22.90642,-43.18223,12.0
riyadh,KSA,riyadh,Riyadh,24.68773,46.72185,612.0
roland garros,FRA,Paris,Paris,48.85341,2.3488,42.0
rome,ITA,rome,Rome,41.89193,12.51133,20.0
rome masters,ITA,Rome,Rome,41.89193,12.51133,20.0
rosmalen,NED,Rosmalen,Rosmalen,51.71667,5.36528,6.0
rotterdam,NED,rotterdam,Rotterdam,51.9225,4.47917,9.0
rouen,FRA,rouen,Rouen,49.44313,1.09932,21.0
s hertogenbosch,NED,Hertogenbosch,'s-Hertogenbosch,51.69917,5.30417,7.0
salvador,BRA,salvador,Salvador,-12.97563,-38.49096,4.0
san antonio,USA,san antonio,San Antonio,29.42412,-98.49363,198.0
san diego,USA,san diego,San Diego,32.71571,-117.16472,20.0
san francisco,USA,san francisco,San Francisco,37.77493,-122.41942,16.0
san jose,USA,San Jose,San Jose,37.33939,-121.89496,26.0
san juan,PUR,san juan,San Juan,18.46633,-66.10572,7.0
san marino,SMR,san marino,San Marino,43.93667,12.44639,683.0
santiago,CHI,Santiago,Santiago,-33.45694,-70.64827,556.0
sao paulo,BRA,sao paulo,São Paulo,-23.5475,-46.63611,769.0
sarasota,USA,sarasota,Sarasota,27.33643,-82.53065,7.0
sardinia,ITA,Cagliari,Cagliari,39.23054,9.11917,6.0
schenectady,USA,schenectady,Schenectady,42.81424,-73.93957,74.0
scottsdale,USA,scottsdale,Scottsdale,33.50921,-111.89903,383.0
seoul,KOR,seoul,Seoul,37.566,126.9784,38.0
serbia,SRB,Belgrade,Belgrade,44.80401,20.46513,120.0
shanghai,CHN,shanghai,Shanghai,31.22222,121.45806,12.0
shanghai masters,CHN,Shanghai,Shanghai,31.22222,121.45806,12.0
shenzhen,CHN,shenzhen,Shenzhen,22.54554,114.0683,4.0
shenzhen finals,CHN,Shenzhen,Shenzhen,22.54554,114.0683,4.0
singapore,SGP,singapore,Singapore,1.28967,103.85007,23.0
sofia,BUL,sofia,Sofia,42.69751,23.32415,562.0
sopot,POL,sopot,Sopot,54.4418,18.56003,20.0
split,CRO,split,Split,43.50891,16.43915,12.0
st petersburg,RUS,st petersburg,St Petersburg,59.93863,30.31413,11.0
st poelten,AUT,Sankt Polten,Sankt Pölten,48.20762,15.63725,265.0
stanford,USA,stanford,Burgaw,34.55211,-77.9261,15.0
stockholm,SWE,stockholm,Stockholm,59.32938,18.06871,17.0
stockholm masters,SWE,Stockholm,Stockholm,59.32938,18.06871,17.0
strasbourg,FRA,strasbourg,Strasbourg,48.58392,7.74553,147.0
stratton mountain,USA,stratton mountain,Stratton Mountain,43.11674,-72.90649,610.0
stuttgart,GER,stuttgart,Stuttgart,48.78232,9.17702,252.0
stuttgart indoor,GER,Stuttgart,Stuttgart,48.78232,9.17702,252.0
stuttgart masters,GER,Stuttgart,Stuttgart,48.78232,9.17702,252.0
stuttgart outdoor,GER,Stuttgart,Stuttgart,48.78232,9.17702,252.0
styria,AUT,Bad Waltersdorf,Bad Waltersdorf,47.1696,16.0087,290.0
sun city,RSA,sun city,Sun City,-25.33997,27.09738,1258.0
surabaya,INA,surabaya,Surabaya,-7.24917,112.75083,8.0
sydney,AUS,sydney,Sydney,-33.86785,151.20732,58.0
sydney indoor,AUS,Sydney,Sydney,-33.86785,151.20732,58.0
sydney olympics,AUS,Sydney,Sydney,-33.86785,151.20732,58.0
sydney outdoor,AUS,Sydney,Sydney,-33.86785,151.20732,58.0
taipei,TPE,taipei,Taipei,25.05306,121.52639,5.0
tallinn,EST,tallinn,Tallinn,59.43696,24.75353,12.0
tampa,USA,tampa,Tampa,27.94752,-82.45843,1.0
taranto,ITA,taranto,Taranto,40.46438,17.24707,15.0
tashkent,UZB,tashkent,Tashkent,41.26465,69.21627,424.0
tel aviv,ISR,tel aviv,Tel Aviv,32.08088,34.78057,15.0
tenerife,ESP,tenerife,Tenerife,28.32977,-16.5097,10.0
tianjin,CHN,tianjin,Tianjin,39.14222,117.17667,11.0
tokyo,JPN,tokyo,Tokyo,35.6895,139.69171,44.0
tokyo indoor,JPN,Tokyo,Tokyo,35.6895,139.69171,44.0
tokyo japan open,JPN,Tokyo,Tokyo,35.6895,139.69171,44.0
tokyo nichirei,JPN,Tokyo,Tokyo,35.6895,139.69171,44.0
tokyo olympics,JPN,Tokyo,Tokyo,35.6895,139.69171,44.0
tokyo outdoor,JPN,Tokyo,Tokyo,35.6895,139.69171,44.0
tokyo pan pacific,JPN,Tokyo,Tokyo,35.6895,139.69171,44.0
toronto,CAN,toronto,Toronto,43.70643,-79.39864,161.0
toulouse,FRA,toulouse,Toulouse,43.60426,1.44367,150.0
umag,CRO,umag,Umag,45.43139,13.52389,4.0
united cup,AUS,Sydney,Sydney,-33.86785,151.20732,58.0
us open,USA,New York,New York,40.71427,-74.00597,10.0
valencia,ESP,valencia,Valencia,39.47391,-0.37966,15.0
vienna,AUT,vienna,Vienna,48.20849,16.37208,171.0
vina del mar,CHI,Vina del Mar,Viña del Mar,-33.02457,-71.55183,17.0
waikoloa,USA,waikoloa,Waikoloa,19.93942,-155.7893,262.0
warrnambool,AUS,warrnambool,Warrnambool,-38.38176,142.48799,24.0
warsaw,POL,warsaw,Warsaw,52.22977,21.01178,113.0
washington,USA,washington,Washington D.C.,38.89511,-77.03637,7.0
washington dc,USA,Washington,Washington D.C.,38.89511,-77.03637,7.0
wellington,NZL,wellington,Wellington,-41.28664,174.77557,31.0
wimbledon,GBR,London,London,51.50853,-0.12574,25.0
winston salem,USA,Winston-Salem,Winston-Salem,36.09986,-80.24422,293.0
wuhan,CHN,wuhan,Wuhan,30.58333,114.26667,20.0
yarra valley classic,AUS,Melbourne,Melbourne,-37.814,144.96332,25.0
zagreb,CRO,zagreb,Zagreb,45.81444,15.97798,135.0
zaragoza,ESP,zaragoza,Zaragoza,41.65606,-0.87734,214.0
zhengzhou,CHN,zhengzhou,Zhengzhou,34.75778,113.64861,104.0
zhuhai,CHN,zhuhai,Zhuhai,22.27694,113.56778,35.0
zurich,SUI,zurich,Zurich,47.36667,8.55,429.0
